Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
bfp11r3b,danfoss bfp11r3 service pump,1,,,,,bfp11r3b,,15 February 2016,37.90,7.58,45.48,45.48,32
merc00199665,oven fan element ckr 240,3,,,,,merc00199665,,25 February 2016,5.70,1.14,6.84,20.52,6
lyv3411,lyvia 3469 slimline 20a,1,,,,,lyv3411,,25 February 2016,2.16,0.43,2.59,2.59,6
grj503169,drum paddle lifter,2,,,,,grj503169,,25 February 2016,7.98,1.60,9.58,19.16,6
cfc76802m,cable 6.0m twin & ear,3,,,,,cfc76802m,,25 February 2016,3.22,0.64,3.86,11.58,6
lyv3469,lyvia 3469 slimline 13a,1,,,,,lyv3469,,25 February 2016,2.42,0.48,2.9,2.9,6
,cable ties,1,,,,,cable ties,,26 February 2016,20.48,4.10,24.58,24.58,44
,flex,1,,,,,flex,,26 February 2016,15.85,3.17,19.02,19.02,44
fvln003474,screw m5 x 16 cap head,1,,,,,fvln003474,,10 March 2016,1.10,0.22,1.32,1.32,6
grj272028,balancing spring,2,,,,,grj272028,,10 March 2016,7.98,1.60,9.58,19.16,6
ele9123,grill element 1150w ck,4,,,,,ele9123,,10 March 2016,2.89,0.58,3.47,13.88,6
lyv3406,lyvia 3406 slimline,4,,,,,lyv3406,,10 March 2016,1.07,0.21,1.28,5.12,6
quacs25,collo hob black,5,,,,,quacs25,,16 March 2016,3.69,0.74,4.43,22.15,18
fvln003474,screw m5 x 16 cap head,2,,,,,fvln003474,,16 March 2016,0.99,0.20,1.19,2.38,18
quaele2015ego,element fan oven candy,2,,,,,quaele2015ego,,16 March 2016,5.90,1.18,7.08,14.16,18
wpl482000011533,jockey wheel idler,4,,,,,wpl482000011533,,16 March 2016,2.91,0.58,3.49,13.96,18
a2252,glass panel gasket,6,,,,,a2252,,17 March 2016,0.72,0.14,0.86,5.16,32
r2500-u,oven stat,1,,,,,r2500-u,,17 March 2016,13.00,2.60,15.60,15.6,32
r4083,thermostat cooker limit,1,,,,,r4083,,17 March 2016,15.10,3.02,18.12,18.12,32
8716142309,stat,1,,,,,8716142309,,17 March 2016,16.65,3.33,19.98,19.98,32
agaa03,aga ry sight  glass gskt,10,,,,,agaa03,,17 March 2016,1.66,0.33,1.99,19.9,37
040-80sf,non drip nozzle 040x80sf,2,,,,,040-80sf,,17 March 2016,10.38,2.08,12.46,24.92,37
065-80sf,non drip nozzle 065x80sf,2,,,,,065-80sf,,17 March 2016,10.38,2.08,12.46,24.92,37
040-80es,nozzles 0.40x80es,3,,,,,040-80es,,17 March 2016,4.35,0.87,5.22,15.66,37
065-80es,nozzles 0.65x80es,3,,,,,065-80es,,17 March 2016,3.85,0.77,4.62,13.86,37
r09m996352,oven stat boiler model,2,,,,,r09m996352,,17 March 2016,19.76,3.95,23.71,47.42,37
81518,20a double pole switch,3,,,,,81518,,18 March 2016,1.74,0.35,2.09,6.27,36
rnga94693,fan oven heater element,1,,,,,rnga94693,,22 March 2016,6.00,1.20,7.20,7.2,34
wel3340,lamp 15w ses e14 clear,10,,,,,wel3340,,22 March 2016,0.68,0.14,0.82,8.2,6
