Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
q307371,rocker push button ignition,1,,,,,q307371,,19 August 2015,2.50,0.50,3.00,3,21
q307374,rocker push button ,5,,,,,q307374,,19 August 2015,1.81,0.36,2.17,10.85,21
q307338,rocker switch impulse white,3,,,,,q307338,,19 August 2015,2.21,0.44,2.65,7.95,21
grj441935,connect hose,1,,,,,grj441935,,19 August 2015,30.24,6.05,36.29,36.29,6
frg1785,motor fan unit,1,,,,,frg1785,,24 August 2015,7.19,1.44,8.63,8.63,6
mtg481201230179,holder detergent,1,,,,,mtg481201230179,,24 August 2015,6.41,1.28,7.69,7.69,6
ele4115,energy regulator simmer,1,,,,,ele4115,,24 August 2015,7.15,1.43,8.58,8.58,6
whl9290,compatible upper basket,3,,,,,whl9290,,24 August 2015,3.73,0.75,4.48,13.44,6
blk0134,wellco bulk batten lamp,1,,,,,blk0134,,24 August 2015,5.66,1.13,6.79,6.79,6
whl9288,compatible lower dishwash,3,,,,,whl9288,,24 August 2015,4.92,0.98,5.9,17.7,6
ele9180,energy regulator simmer,1,,,,,ele9180,,24 August 2015,7.49,1.50,8.99,8.99,6
lyv3469,lyvia 3469 slimline 13a,2,,,,,lyv3469,,24 August 2015,2.42,0.48,2.9,5.8,6
ele9180,energy regulator simmer,1,,,,,ele9180,,1 September 2015,7.49,1.50,8.99,8.99,6
ele4116,energy regulator simmer,1,,,,,ele4116,,1 September 2015,8.78,1.76,10.54,10.54,6
ele4109,energy regulator simmer,2,,,,,ele4109,,1 September 2015,6.86,1.37,8.23,16.46,6
ele4117,energy regulator simmer,2,,,,,ele4117,,1 September 2015,5.99,1.20,7.19,14.38,6
8716113594,pump head,1,,,,,8716113594,,3 September 2015,64.15,12.83,76.98,76.98,32
c26p0227,ranco stat,1,,,,,c26p0227,,3 September 2015,29.95,5.99,35.94,35.94,32
0.3580's,danfoss nozzle,1,,,,,0.3580's,,3 September 2015,4.50,0.90,5.40,5.4,32
1010c,10mm copper pipe coil,1,,,,,1010c,,8 September 2015,14.00,2.80,16.80,16.8,32
flar3,10mm x 38 st flared,3,,,,,flar3,,8 September 2015,1.10,0.22,1.32,3.96,32
flar4,10 x 1/4st flared,3,,,,,flar4,,8 September 2015,1.10,0.22,1.32,3.96,32
flar5,10mm straight,1,,,,,flar5,,8 September 2015,1.55,0.31,1.86,1.86,32
flar6 ,10mm x 3/8 elbow,3,,,,,flar6 ,,8 September 2015,1.15,0.23,1.38,4.14,32
flar2,10mm x 1/4 elbow,3,,,,,flar2,,8 September 2015,1.10,0.22,1.32,3.96,32
flar1,10mm flared elbow,1,,,,,flar1,,8 September 2015,1.45,0.29,1.74,1.74,32
co/1sa-uk,twin pack co & smoke,6,,,,,co/1sa-uk,,8 September 2015,11.00,2.20,13.20,79.2,32
200052-ww-eu,4w gu10 led bulbs,4,,,,,200052-ww-eu,,15 September 2015,3.50,0.70,4.20,16.8,39
700003-ww,8w e27 r63 reflector,2,,,,,700003-ww,,15 September 2015,5.99,1.20,7.19,14.38,39
dor3446,door interlock switch,2,,,,,dor3446,,15 September 2015,2.26,0.45,2.71,5.42,6
wel0160,wellco standard lightswitch,1,,,,,wel0160,,15 September 2015,5.70,1.14,6.84,6.84,6
ele4545,element fan oven 2500w,1,,,,,ele4545,,15 September 2015,10.21,2.04,12.25,12.25,6
bek300180094,fan oven element 2000w,1,,,,,bek300180094,,15 September 2015,10.42,2.08,12.5,12.5,6
ele4503,element fan oven fmt24,2,,,,,ele4503,,15 September 2015,8.44,1.69,10.13,20.26,6
blt218,belt drive t/f vax,1,,,,,blt218,,29 September 2015,0.88,0.18,1.06,1.06,6
blt219,drive belt vax turbo,1,,,,,blt219,,29 September 2015,0.90,0.18,1.08,1.08,6
bek262510005,fan oven element 1600w,1,,,,,bek262510005,,29 September 2015,9.99,2.00,11.99,11.99,6
dor9329,door lock hotpoint,3,,,,,dor9329,,29 September 2015,2.98,0.60,3.58,10.74,6
bek462300009,fan oven element 1600w,1,,,,,bek462300009,,29 September 2015,14.10,2.82,16.92,16.92,6
nzl3376,32mm floor tool,1,,,,,nzl3376,,12 October 2015,2.27,0.45,2.72,2.72,6
bek462300009,fan oven element 1600w,1,,,,,bek462300009,,12 October 2015,14.10,2.82,16.92,16.92,6
8716142423,oil isolation valve,2,,,,,8716142423,,19 October 2015,21.50,4.30,25.80,51.6,32
wick-r,cooker wick ,1,,,,,wick-r,,19 October 2015,22.00,4.40,26.40,26.4,32
s541510,limit thermostat,1,,,,,s541510,,19 October 2015,8.50,1.70,10.20,10.2,32
r2501-u,thermostat control boiler,1,,,,,r2501-u,,19 October 2015,13.00,2.60,15.60,15.6,32
r2500-u,oven stat,1,,,,,r2500-u,,19 October 2015,13.00,2.60,15.60,15.6,32
mdac00142628,drum rear teardrop bearing,3,,,,,mdac00142628,,20 October 2015,2.99,0.60,3.59,10.77,34
rnga94693,fan oven heater element,1,,,,,rnga94693,,20 October 2015,8.00,1.60,9.60,9.6,34
mdac00095655,drum shaft kit,2,,,,,mdac00095655,,20 October 2015,4.90,0.98,5.88,11.76,34
bek1881050200,door hinge spring,1,,,,,bek1881050200,,20 October 2015,1.95,0.39,2.34,2.34,34
bek1881030100,rope door hinge,3,,,,,bek1881030100,,27 October 2015,2.48,0.50,2.98,8.94,6
a2432,fuel inlet elb,1,,,,,a2432,,2 November 2015,9.59,1.92,11.51,11.51,37
dst1326630009,drain pump askoll 25w,1,,,,,dst1326630009,,23 November 2015,6.99,1.40,8.39,8.39,6
blt2200,belt neopropene round t/t,2,,,,,blt2200,,23 November 2015,3.74,0.75,4.49,8.98,6
ele4116,energy regulator simmer,2,,,,,ele4116,,23 November 2015,7.98,1.60,9.58,19.16,6
3798,boiling plate 180mm,1,,,,,3798,,23 November 2015,1.40,0.28,1.68,1.68,31
5288,boiling plate 145mm,1,,,,,5288,,23 November 2015,1.29,0.26,1.55,1.55,31
80021,pump askoll electrolux,2,,,,,80021,,23 November 2015,0.49,0.10,0.59,1.18,31
stv082590800,energy regulator mpv01,2,,,,,stv082590800,,2 December 2015,8.85,1.77,10.62,21.24,6
v4043h1056,22mm 2 port zone valve,1,,,,,v4043h1056,,2 December 2015,38.50,7.70,46.20,46.2,32
hpa2,danfoss hpa2 b2 port actuator,1,,,,,hpa2,,2 December 2015,32.00,6.40,38.40,38.4,32
1.1080'eh,danfoss nozzle,2,,,,,1.1080'eh,,2 December 2015,3.85,0.77,4.62,9.24,32
bfp11l3b,danfoss bfp11l3 service pump,1,,,,,bfp11l3b,,2 December 2015,37.90,7.58,45.48,45.48,32
mz40,satronic photocell mz770s short 40mm,1,,,,,mz40,,2 December 2015,5.00,1.00,6.00,6,32
mz80,satronic photocell mz770s long 80mm,1,,,,,mz80,,2 December 2015,7.50,1.50,9.00,9,32
b3701,single electrode,2,,,,,b3701,,2 December 2015,3.90,0.78,4.68,9.36,32
b5601,monoblock electrode,1,,,,,b5601,,2 December 2015,10.90,2.18,13.08,13.08,32
bek263100019,thermostat 7729486354,1,,,,,bek263100019,,7 December 2015,10.51,2.10,12.61,12.61,6
wpl481281719419,carbon brush,2,,,,,wpl481281719419,,7 December 2015,8.14,1.63,9.77,19.54,6
cbn9041,carbon brush t/f whirlpool,3,,,,,cbn9041,,7 December 2015,5.72,1.14,6.86,20.58,6
